"Items","Difficulty","Discrimination"
"Item1",-1.24941585066307,2.49768841647313
"Item2",0.572872045550523,1.73315761074521
"Item3",-1.12166164430312,2.26644353830304
"Item4",0.853098758639068,1.72397838684106
"Item5",0.848751589560743,1.83838327312061
"Item6",2.26250841749956,3.22956694405494
"Item7",-2.24371751853355,3.05532207480109
"Item8",1.67905081417215,2.61729297924858
"Item9",-0.652440653595693,1.33909784282093
"Item10",0.0776226259619876,0.66736330236495
"Item11",1.59557002919206,3.05977254605649
"Item12",-1.64354612009282,2.79211757949216
"Item13",0.672762260366354,1.80828717049327
"Item14",0.472155483851468,1.32918992465001
"Item15",1.15324241345324,2.0779926031252
