"Items","Difficulty"
"Item1",0.593063127853454
"Item2",0.371425563182658
"Item3",0.452820128086697
"Item4",0.381161211455742
"Item5",0.734387576207528
"Item6",0.61119511923227
"Item7",0.245721970769094
"Item8",0.523352778196375
"Item9",0.637556397637256
"Item10",0.685520963422697
"Item11",0.524473830340143
"Item12",0.512910628742295
"Item13",0.668315729816618
"Item14",0.5509216911919
"Item15",0.605609805319016
"Item16",0.432370069869759
"Item17",0.638358703078495
"Item18",0.493988297942133
"Item19",0.31616147846187
"Item20",0.704536375252726
"Item21",0.682565074865378
"Item22",0.843978364458335
"Item23",0.625268259126118
"Item24",0.749154058007388
"Item25",0.526748234601525
"Item26",0.395278442913807
"Item27",0.262747439248016
"Item28",0.438627166980423
"Item29",0.709669984819565
"Item30",0.222385641841756
"Item31",0.526533152144967
"Item32",0.485473133144248
"Item33",0.587992712350637
"Item34",0.205627578496518
"Item35",0.426960187963337
"Item36",0.643343375440101
"Item37",0.618890113440639
"Item38",0.477288928945572
"Item39",0.45142600411979
"Item40",0.631279188465355
"Item41",0.124104651457511
"Item42",0.413536331520351
"Item43",0.213734179560743
"Item44",0.72113427248303
"Item45",0.725389312224028
"Item46",0.677103033233337
"Item47",0.347469455942701
"Item48",0.649067219155011
"Item49",0.593094334716106
"Item50",0.665132381493894
"Item51",0.439397371338502
"Item52",0.685427654910968
"Item53",0.660124325945518
"Item54",0.971386190015145
"Item55",0.23821911919742
"Item56",0.51403204065264
"Item57",0.592437238172902
"Item58",0.788121434219961
"Item59",0.267699445480944
"Item60",0.740791465788218
"Item61",0.760140695581327
"Item62",0.778566493444565
"Item63",0.400962578098906
"Item64",0.506394330439107
"Item65",0.349939530052731
"Item66",0.377939385366658
"Item67",0.429521852877979
"Item68",0.520874423985113
"Item69",0.651229864688221
"Item70",0.709099515138379
"Item71",0.578771733409074
"Item72",0.371616907515208
"Item73",0.641399585353081
"Item74",0.543537398091143
"Item75",0.501222737433352
"Item76",0.347843528586729
"Item77",0.80445930627865
"Item78",0.456320535143245
"Item79",0.528982965282916
"Item80",0.82715293336479
"Item81",0.734587995955087
"Item82",0.0168636113756272
"Item83",0.577557038074603
"Item84",0.63680425847098
"Item85",0.571857735205899
"Item86",0.584207549405609
"Item87",0.401782385855636
"Item88",0.318894672577691
"Item89",0.489521294987062
"Item90",0.643269475576937
"Item91",0.461274609085408
"Item92",0.284373983288528
"Item93",0.341381025942018
"Item94",0.151074770635614
"Item95",0.423006185150892
"Item96",0.234406951401487
"Item97",0.494592165423378
"Item98",0.365095577134941
"Item99",0.804001206833936
"Item100",0.416610364697149
