"Items","Difficulty"
"Item1",0.187983377710841
"Item2",0.325606302869682
"Item3",0.282061333661198
"Item4",0.438770495178401
"Item5",0.376807260724085
"Item6",0.364569884028551
"Item7",0.613232752626652
"Item8",0.260805708553826
"Item9",0.606909404849222
"Item10",0.210904480299496
"Item11",0.591289352972745
"Item12",0.414248315250985
"Item13",0.264690524312979
"Item14",0.499209077882996
"Item15",0.630169287860924
"Item16",0.299516449628074
"Item17",0.39876598133956
"Item18",0.7380044847271
"Item19",0.448500927246159
"Item20",0.435588880189555
