"Items","Difficulty"
"Item1",0.666186203306935
"Item2",0.46696895637602
"Item3",0.717298697531419
"Item4",0.361698751912842
"Item5",0.274675914837455
"Item6",0.506353077191033
"Item7",0.550448294366462
"Item8",0.545306888913153
"Item9",0.454772909510081
"Item10",0.302263332402557
"Item11",0.404888481835711
"Item12",0.468119778437379
"Item13",0.419943008851001
"Item14",0.286862447087611
"Item15",0.40362137371501
"Item16",0.329591787134915
"Item17",0.339205120091555
"Item18",0.482967067569692
"Item19",0.696934252301984
"Item20",0.340813973458962
