"Items","Difficulty","Discrimination"
"Item1",-1.45793938543648,3.33695996366441
"Item2",-2.42029550601728,1.54935161024332
"Item3",-1.35254940367304,1.28835368063301
"Item4",-2.0732488995418,0.438753700815141
"Item5",-1.04168421588838,1.82067364733666
"Item6",-1.9881721038837,3.37393119279295
"Item7",0.942961260443553,3.5536320740357
"Item8",1.3644600159023,2.28504107613117
"Item9",-1.51106691686437,1.74988344032317
"Item10",-1.00853429525159,3.08372216299176
"Item11",0.113532717805356,0.600007648579776
"Item12",0.54880675394088,0.365461284294724
"Item13",0.76162051060237,0.81292066257447
"Item14",0.71909288642928,2.22980327811092
"Item15",0.774007004220039,0.60911938175559
"Item16",1.19651770452037,2.80308204423636
"Item17",0.453457440016791,3.81717549357563
"Item18",2.46573401265778,0.186596779152751
"Item19",0.329421410569921,2.35879477765411
"Item20",0.191237051039934,3.4756573420018
"Item21",-0.912744492525235,1.62373652309179
"Item22",-0.374969894764945,0.616843637079
"Item23",-2.48379130964167,2.44574159663171
"Item24",-0.692350490717217,2.18305756058544
"Item25",-2.16116869356483,3.80751753691584
"Item26",2.19370483187959,0.954979931004345
"Item27",-1.07260624994524,1.6632873993367
"Item28",-0.370531488442793,3.15892789512873
"Item29",-0.87984416866675,1.4948730552569
"Item30",-1.9007406278979,2.42088659945875
"Item31",-2.15701416018419,2.91302871052176
"Item32",0.181187599664554,0.29929272364825
"Item33",-2.45742577011697,2.13716478925198
"Item34",2.152176478412,1.4281843258068
"Item35",-1.11503575928509,0.446831170469522
