"Items","Discrimination.2PL","Difficulty.2PL"
"Item1",1.61951478179971,-2.66957525348937
"Item2",1.00603718836861,-0.712382548993247
"Item3",1.46950692901197,-2.07412452538418
"Item4",1.04314684134642,-0.58959540711428
"Item5",1.22274723338724,-0.29072549586787
"Item6",1.14917704898737,-2.2125907765613
"Item7",0.751154984337507,-2.71048669676313
"Item8",1.3428334168758,-1.91484423265166
"Item9",1.13600906235371,-1.5449149541308
"Item10",1.90105132881151,-1.93356702903482
"Item11",1.58182260640989,-0.991883249102082
"Item12",0.95207532610343,-2.65625802759128
"Item13",2.46782448532056,-1.09455660276613
"Item14",0.823702395043234,-0.626702269886527
"Item15",0.765477938576867,-0.659379112822055
"Item16",1.71823345611258,-2.09199825186035
"Item17",1.39606421041709,-0.163964090841285
"Item18",1.42572732729799,-0.238938106310214
"Item19",1.30958864254892,-1.82813392574553
"Item20",1.00619441168775,-0.708608972898796
"Item21",0.946868177294306,0.392725238935726
"Item22",1.00411635999539,-0.160948988657054
"Item23",1.00992399642684,-1.02720971363422
"Item24",1.25522323095395,-2.19613303470028
"Item25",1.64442401120904,-0.131795820291489
"Item26",1.64743943136033,0.717313277417155
"Item27",0.821910582869036,-1.255654648731
"Item28",1.45288524687017,-0.798020952104279
"Item29",0.152240020582937,-10.6659257501777
"Item30",1.18883868870023,-0.486984265889806
