"Items","Discrimination.2PL","Difficulty.2PL"
"Item1",2.61861228226104,0.307687923538199
"Item2",2.96053527755245,0.371963311912019
"Item3",2.01730484372307,0.0768011951705523
"Item4",2.46778936832156,0.362845039035228
"Item7",1.79551193378098,-0.00240201517930133
"Item8.10",2.6531291637504,0.899076142686438
"Item11.13",2.34161010756285,0.482817859823286
"Item14",4.31820902042402,0.270238696736718
"Item16",3.64270857933697,0.192347286710132
"Item17",3.27634408253578,0.485914932419821
"Item18",3.74296846407431,0.377525400158201
"Item19",3.13229176660388,0.389044333081034
"Item20",1.84682924839688,0.460222067433222
"Item21",2.20888225476314,0.346304367308146
"Item22",3.47144351313907,-0.547067656409989
"Item23",2.9898526969767,-0.264046336298398
"Item24",3.27763814385474,-0.469314644002778
"Item25",2.6485903189457,-0.156265878759505
"Item26",3.4149343785159,-0.547853059845506
"Item27.29",2.1518764555224,0.132824902976895
"Item30",0.919634350578374,-0.74784544433856
"Item31",1.06930817079538,-0.924334473592003
"Item32",1.28169744029472,-0.602407319348385
"Item34",1.3263997987752,-0.490690375721417
"Item36",1.05074296965441,0.958759149669572
"Item38",1.03884259966545,0.941299231686582
"Item40",1.22420911486362,-2.45240999749044
"Item41",0.994520240744001,-1.29537862217114
"Item42",1.26208579519656,-1.68280388065199
"Item43",0.904024465297944,-3.21718993951054
