"Items","Discrimination.3PL","Difficulty.3PL","Guessing.3PL"
"Item1",7.01625855062673,0.493852882376048,0.0912690021700977
"Item2",5.37836531843283,0.496194482999583,0.0499166988972652
"Item3",4.3444532755771,0.421144293913902,0.168571653951389
"Item4",5.70786668843823,0.527547974107382,0.0850826655026968
"Item7",3.56353825335646,0.384908872643622,0.18794172542645
"Item8.10",3.25271361621829,0.855868540527064,0.00300744335114856
"Item11.13",3.05940084738071,0.563517102669647,0.0322759325905737
"Item14",7.30249052847399,0.400242828482968,0.0255658121217384
"Item16",12.6901978537686,0.398536603913273,0.0766750481523837
"Item17",4.55408295717612,0.538266864584031,0.0113703284093559
"Item18",7.50589579415507,0.489657288478013,0.0352137645604391
"Item19",8.06269434304138,0.517049883440985,0.0570686463063367
"Item20",4.52009958773798,0.640317439441489,0.116416255762276
"Item21",2.94073710564517,0.455680502555561,0.0414446661253026
"Item22",3.39579536063566,-0.471983988362011,0.0174714743038879
"Item23",2.93493573487873,-0.173279666792046,0.00335112273312141
"Item24",3.22618461833822,-0.399704866684118,0.0011423415520747
"Item25",2.86447798700405,-0.0213293227620848,0.0326518986501682
"Item26",3.45110479655908,-0.475120801903319,0.0119762479071073
"Item27.29",2.40172643025181,0.247523301709991,0.0293413078803937
"Item30",1.35701465751524,0.155454504892451,0.329471441481953
"Item31",1.03233635129345,-0.869280538341116,0.0358338609405303
"Item32",1.19114709543551,-0.596377220357198,0.00368226929067542
"Item34",1.25599488770146,-0.471082887164188,0.00233345309463833
"Item36",1.26220929632571,1.01009318842776,0.0416307325896209
"Item38",1.11197648940651,0.935429288221946,0.00681105453838678
"Item40",1.3568258980606,-2.32582087944679,0.0148463164674003
"Item41",1.17005613192794,-0.687792969801034,0.262785403257467
"Item42",1.31953342000863,-1.57517164619638,0.0661716512849139
"Item43",0.999116704419826,-2.99679452772263,0.0120787290618006
