"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
1,2.09601673303785,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2,0.609986065501446,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1
3,0.139906405800291,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1
4,0.659113379814671,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1
5,-0.673327473298566,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
6,-0.985116340637245,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
7,-0.704066867483288,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1
8,-0.329854632206193,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1
9,0.223519982661476,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1
10,1.86681524896746,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
11,0.78729857889529,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1
12,-1.94094111281885,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
13,-0.281151095473662,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
14,-2.06255679168748,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
15,-1.74371617457846,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
16,-0.564673965091615,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
17,-1.97238739340276,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
18,0.903391009625839,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
19,1.61596170234171,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
20,-1.45328284991289,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1
21,-1.44035163579955,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0
22,-0.00511981986839886,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
23,-1.07657629560569,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
24,0.419396379344252,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1
25,-2.5570040156383,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,-1.02813373736903,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
27,0.237544276100137,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
28,0.204740745789187,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
