"Items","Est.Discrimination.2PL","Est.Difficulty.2PL"
"Item1",2.58123722686258,-1.61771627051951
"Item2",1.05432032805076,0.174410140724298
"Item3",1.67289022402641,1.65406669864621
"Item4",2.35324541555621,1.51667277360304
"Item5",1.13437482583631,2.30467369598844
"Item6",0.720126473028603,-0.718412413902422
"Item7",1.22169914112733,1.18004519467106
"Item8",0.479688538401935,1.0942579909823
"Item9",0.942107683495721,0.126808906986642
"Item10",1.19400901160744,-1.01095814865081
"Item11",1.41735308030454,1.91650641464874
"Item12",0.517824264461408,-0.809448256987213
"Item13",0.622448633265044,-1.59718808470924
"Item14",0.655907402454364,0.720525019345801
"Item15",2.0764638314751,-1.73541608750506
"Item16",0.112298678981774,-1.38940419393565
"Item17",0.979344938532231,-0.685815121509461
"Item18",1.22734200340539,1.02022180424781
"Item19",0.86479030952601,0.73602306561575
"Item20",0.803267676117664,-1.45983415906136
"Item21",1.51657378136421,1.5085196831759
"Item22",1.20745683984765,-2.31075712340712
"Item23",1.71662620208572,-1.31349277377823
"Item24",0.163421537760459,0.448579719664827
"Item25",0.363652821608481,-0.486821959192681
"Item26",1.97076218939457,1.10503469152909
"Item27",1.21868430841348,-1.66588346085033
"Item28",1.82751313426007,0.0315021734697059
"Item29",1.16944338680468,0.835759844352058
"Item30",2.44551183191513,0.980617871779874
"Item31",1.58769096667573,1.92782391506889
"Item32",1.34011668834284,1.73320570850464
"Item33",0.899687229854696,-1.19311990128051
"Item34",2.98815654878738,-0.472238932049949
"Item35",3.89605097359033,1.1135970933768
"Item36",1.37670844219106,-0.793886347894547
"Item37",1.69729483179599,-1.70918718523773
"Item38",1.65393847241228,-0.84384236494875
"Item39",1.80029587286103,1.2798234613685
"Item40",1.47621748145498,-1.99027178372358
