"Items","Difficulty","Discrimination"
"Item1",-1.58907704448135,-0.0101694207566858
"Item2",-0.672930719911954,0.74202662833298
"Item3",0.742716303090209,2.35515199815582
"Item4",-0.129929054165758,1.43898533372254
"Item5",-0.0666361028788269,1.63135804196155
"Item6",-2.22922081876106,-0.658927710556819
"Item7",-0.260832590728531,1.39648030643135
"Item8",-0.562047750566862,0.980422942910859
"Item9",1.85034406151525,3.26130077668125
"Item10",0.917124740231364,2.22080572193371
"Item11",-0.313933771057379,1.16002499493106
"Item12",-0.260625276673537,1.01673874074831
"Item13",1.89610759939654,3.19759466985227
"Item14",2.09432557546918,3.47653025430183
"Item15",0.37751685257168,1.67071623664166
"Item16",-1.82764484550878,-0.237212454045485
"Item17",0.336918567277289,1.85761034487038
"Item18",0.0880695611508296,1.67852836092436
"Item19",-0.256675926418001,1.26419147213291
"Item20",-1.17704041012527,0.31423079197392
"Item21",-0.884335852328933,0.672559618336433
"Item22",-1.76789547579681,-0.169295772077345
"Item23",-1.18952618672707,0.266176666595087
"Item24",-2.89240393774076,-1.33804575312471
"Item25",-0.608474974914574,0.787655178678138
