"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7"
1,0.177529477573583,1,1,1,1,1,1,1
2,-0.843683072260219,1,0,1,0,1,0,0
3,-2.41975755557801,0,0,0,0,0,0,0
4,-0.137811299939847,0,1,0,1,1,1,1
5,-0.174218760808557,1,1,1,1,0,0,0
6,0.0280318815027311,1,1,1,1,0,1,1
7,0.420322392887499,1,1,1,1,1,1,1
8,0.046187286888592,1,1,1,1,0,0,1
9,-0.423404306259284,1,1,1,0,0,0,1
10,-0.960573441253747,0,0,0,0,0,0,0
11,-1.10758710220352,0,0,1,0,0,0,0
12,0.442892885728638,1,1,1,0,1,1,0
13,0.662780191915112,1,1,1,1,1,1,1
14,-0.978110631112534,1,1,1,0,1,1,0
15,-0.455837998035004,1,1,0,1,1,0,1
16,-0.473201662676845,1,1,0,1,0,0,0
17,0.6491517177986,1,1,1,1,1,1,1
18,1.00730812710588,1,1,1,1,1,1,1
19,1.10338683592073,1,1,1,1,1,1,1
20,-0.0871797484502356,1,1,1,0,0,1,1
21,-0.972796031126922,0,1,0,0,0,0,1
22,0.377286060891489,1,1,1,1,1,1,1
23,-0.517492083490453,1,1,1,0,0,1,0
24,-0.921343350128824,1,1,1,0,0,1,0
25,0.352613246057635,1,1,1,1,1,0,0
26,0.150855852603196,1,1,1,1,1,1,0
27,-0.0231524753963998,0,1,1,1,0,1,0
28,0.320891836730873,0,1,1,1,1,1,1
29,-0.932198542758968,0,1,0,0,1,0,0
30,1.45896174545641,1,1,1,1,1,1,1
31,-1.37957543326995,1,1,0,0,0,1,0
32,0.260330151029771,1,0,0,1,0,1,1
33,0.335597947295855,1,1,1,1,0,1,1
34,-2.07385132892608,0,0,1,0,0,1,0
35,0.338762518109025,1,1,1,1,0,1,1
36,-0.21758145350163,1,1,1,1,0,1,1
37,1.65005870455212,1,1,1,1,1,1,1
38,0.263225031755739,0,1,1,1,0,0,1
39,0.124132634162457,1,1,1,0,0,1,1
40,0.0269712497014062,1,0,1,1,0,1,1
41,-0.750028421525233,1,0,0,0,0,0,0
42,0.0739591182474674,1,1,1,1,0,1,1
43,0.688583087309616,1,1,1,1,0,1,1
44,1.47241756567212,1,1,1,1,1,1,1
45,0.873128620802127,1,1,1,1,0,1,1
46,-0.338803950510903,1,0,1,0,0,1,1
47,0.394464133148916,1,1,1,1,1,1,1
48,0.666152666505801,1,1,1,1,1,1,0
49,0.400707207777801,1,1,0,1,1,1,1
50,1.52199014373247,0,1,1,1,0,1,1
51,0.81139976259461,1,1,1,1,1,1,1
52,-0.222288664245839,0,0,1,0,0,1,0
53,-0.369426371357429,0,0,1,0,0,0,0
54,-0.80751746863237,0,0,1,0,0,0,1
55,0.184717236972665,0,1,1,1,1,1,0
56,-0.407447451202207,1,0,0,1,0,0,1
