"Items","Difficulty","Discrimination"
"Item1",2.1041919447477,2.89480019190683
"Item2",-1.16915370200936,1.00072843943039
"Item3",0.285423804047975,2.34104296946293
"Item4",-1.38684396045783,0.640603431594036
"Item5",-1.23533530952942,1.207246334794
"Item6",1.07574258913208,2.45593321148242
"Item7",0.225938869754522,1.76719503635844
"Item8",0.925802090995166,2.74579145946811
"Item9",0.242615706043735,1.83542327338122
"Item10",1.96863335773254,2.98858543637355
"Item11",-1.09203714261165,0.760463281505719
"Item12",0.149490580243617,2.3579612288266
"Item13",-0.0706230971049405,2.03766510845505
"Item14",-1.62545911588743,0.637105858270863
"Item15",-1.15122385203478,0.904535258162683
"Item16",2.20194840310052,3.7213304588281
"Item17",1.54556418669159,2.98597534645456
"Item18",-1.22844205979914,0.805299808176663
"Item19",-0.7565917485568,1.23221964434207
"Item20",-1.44982591793856,1.0335528552704
