"ID","Theta","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
1,1.28521287682731,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
2,-1.76490349877964,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
3,-0.535379475546206,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
4,-1.24484633510245,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,-1.18792547873259,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0
6,0.0462164266023615,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1
7,-0.417465519135299,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0
8,-1.13795613338945,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0
9,0.968360414250095,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
10,-0.284078969178137,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1
11,0.6465886641402,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1
12,-1.31346454947794,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
13,-1.09812435215009,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
14,-1.02895276708045,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
15,0.973304319676543,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1
16,0.289622215345404,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
17,-0.85138707848729,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
18,-0.362531881386931,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
19,-0.486274043213462,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
